audit_id,content_hash,review_disposition,review_category,notes
RC001,7b50d15feae7b63b94d845b2fa6e19e3220527c5b0cac69303b7fc19bd7484a8,accepted_correct,pointer_shim,
RC002,781b5a5f3fa05ad25fe5ed9963b04d8772224254e876269ab9c3be36ca109cd4,accepted_correct,pointer_shim,Generated provenance comment does not change the pointer-dominant form
RC003,c6fd2916a944a53b14a7d71ec0460af69322514879027c55c85c23fabcd4aa0f,accepted_correct,pointer_shim,
RC004,42fbbc9d55ee0d149c90e4bf93abe8b7278a5482b232be6f5bfc59cc0465e694,accepted_correct,pointer_shim,
RC005,8b237085257560a8eb4c1e7a881a2a324470ef30a49403c13ea59f897c4a1970,accepted_correct,pointer_shim,
RC006,4ece60d5aee661f6a223c9b16a68e9046b3948456ac405d862cef459fe8f560b,accepted_correct,pointer_shim,Short reference-directed document with limited additional instructions
RC007,75e4df8f31cedb68ea73b39b26ccdae4123d6387107ac5258d64fc7599d97798,accepted_correct,pointer_shim,
RC008,5610cfe68d74d5e8fd4f05622eabf272d0f31bd7ab29b5471fabd36b2014a54f,accepted_correct,pointer_shim,
RC009,f97dac824e4452112c08e48c43d0559e292c140cd2c6aae8fc15d46dbd166781,accepted_correct,pointer_shim,
RC010,226675c77bba00b66c8f94dc949624ff21128595a078423938154432fdf4bd15,accepted_correct,pointer_shim,
RC011,dda01539b3e92ae0c8b0fa10a1c336c430aae73c5e83709030bc64c0b559a868,accepted_correct,empty_placeholder,
RC012,93736fb41f39c722f1ce4eb0d68c5bff6b59f150e88a464b8a3be7269eb11884,accepted_correct,empty_placeholder,
RC013,3d7ecd15876d16f8ec08c79ed2a9dcd8c40441a82326690608e14e1f82ac239f,accepted_correct,empty_placeholder,
RC014,2f10e37bcbd164c4d8096e3eb42764fe0e70f7352e6234b5792d1bb6878a5434,accepted_correct,empty_placeholder,
RC015,a9c01d3fef7cc993f8933d7d97311e0721d3822c778749842d28296374f82a53,accepted_correct,empty_placeholder,
RC016,824ff185530c3abe61e28be0f570d44cb3aedd08293d708fb84529a93c9c59f5,accepted_correct,empty_placeholder,
RC017,da7b191e399e6cdc24630510d792d7204948a56c817c85cbed183c6c2fb871c6,accepted_correct,empty_placeholder,
RC018,56122bf2bc62d49fec4ea0f355bb000cabef2e3968778b50c05ec23c978a695b,accepted_correct,empty_placeholder,
RC019,1c0cbbd945efffeb1cc6db34e2552a2f07192e032777badfef0e13674d728495,accepted_correct,empty_placeholder,
RC020,8691fe2e5e599b31bf6a1818819a8d2b58360cd4817fa440950599584e6eaa23,accepted_correct,generated_context,
RC021,97be973c6a2010e6373f28c8f56bb37cd8b56a1a0f415b461f1184514e6340d5,accepted_correct,generated_context,
RC022,d504d42408f60436884ed08a55865c43aa0185274ad08e84c306c024ac80a969,accepted_correct,generated_context,
RC023,67da10a2206ee4898ab705c1a2634b2cb3bbccc98b8ebf240fd0e61e3c961896,accepted_correct,generated_context,
RC024,c05a4cd3e02bd1fa88c4e9ddc8865d2692f833a36cf0cd8ba65a387d72592eac,accepted_correct,generated_context,
RC025,0325161d3740872261aab041b8e87d587febb95b829dff55b4994e8a7561f79a,accepted_correct,generated_context,
RC026,2a607bd05437950571d65cf8a956b040c950118ed7329c5f39f09b5fa6be5ba8,accepted_correct,generated_context,
RC027,dbfec62ab652ff1014cf72310231c16dbb548f4434582da34abc5e9d9be9961d,accepted_correct,generated_context,
RC028,e006e469ea8bc7a8a262e68bedfab85d84d9a9826075cc024ea1f719a4a88c55,accepted_correct,generated_context,
RC029,0c3f8de485f8866304a0e632a362988014ed8807a5d8501046f831fefde3c3c5,accepted_correct,generated_context,
RC030,88b144bb65dfd86f540817d84c36d2b74e947b589c7efdbe530a0873f8070a96,accepted_correct,template_scaffold,
RC031,b54baa2af52ef5bd6f6185fb61f527dcab1a6fd300020a286620dbe942f02155,accepted_correct,template_scaffold,
RC032,322eb23efacb2dc2cf07a4a36c86749ef3c4ef53aba0869167f3a4e5f8045625,accepted_incorrect,generated_context,Timestamped debate-round output with placeholder fields appears generated despite lacking an explicit marker
RC033,a974755110d65e3268252146f99706715915575ebae00ee5c234d1ffe41d38d6,accepted_correct,substantive_repeated_document,
RC034,91cf05d376eb80d56854c64998aded884b9b8d8e0111cd09b46fa40f4c5d1721,accepted_correct,substantive_repeated_document,
RC035,d7bc5e7b0af1a56f99d8dd263451a98fd47044c73fc09997be58c65d32bf546e,accepted_correct,substantive_repeated_document,Substantive research document rather than agent instructions; form label remains correct
RC036,dba8080aa232a1cd7657f307eaf4dcb20fdb859d7c5c3cc6a3ad098a211a6d0f,accepted_correct,substantive_repeated_document,
RC037,2e9546bd163a1bdba93b6617c99319cb16e7fec94d5a346a8690f5068fc096be,accepted_correct,substantive_repeated_document,
RC038,f366680788c91450076e162b35bcea95af68e2090bb51f3ff6dc0055bb6da660,accepted_correct,substantive_repeated_document,
RC039,5b2aa306dd6992f5b9d4cf2bf3cf1bb13309fcf9ead9250c5b398db1438cf8c9,accepted_incorrect,template_scaffold,Variable placeholders and scaffold-skill path indicate a reusable template despite no explicit content marker
RC040,a1fb4db828e0963adc9bbd848cc90f66a4231420f4db7bc20006bb470020ac9d,accepted_correct,substantive_repeated_document,
RC041,edf898f6ee015c8e5bf3835846a82fd5c1790af32064ff3b2536658583128d64,accepted_correct,substantive_repeated_document,
RC042,d859693af4f2f9a3adc254349b6629692f207ec1085a245667638f1e1c137968,classifier_abstention,empty_placeholder,Metadata and title stub with no operational content
RC043,1504e554111b254e0150e09c2b93a948f3388ff8fddc535c7147a2f6db1e9e4a,classifier_abstention,substantive_repeated_document,Very short but actionable instruction
RC044,5b838d20dc7e8398138f0fd35cf8ec112d83078d3cba0585df2472852b9fe3e5,classifier_abstention,substantive_repeated_document,Short structured rules and scope description
RC045,452d170ac1d0efb2726895685de44c8d8c7d6aafe920e97960819ca684bf7175,classifier_abstention,substantive_repeated_document,Short configuration instruction
RC046,f1cda31dbaf4f1a4a864fcec56fad0a2ffe0934be9cfe63a3695a1a078cf6de7,classifier_abstention,substantive_repeated_document,Short direct workflow instruction
RC047,2b6896fcc035c1f02d8fa0a80d8326d664dfce5d7d63a290b831fcbc1280b23f,classifier_abstention,substantive_repeated_document,Short environment and implementation instructions
RC048,9eddb14fc9b0f6ea33fcd18e5a5ba7ae877007bcddddc314fe41fe58456c81c6,classifier_abstention,substantive_repeated_document,Minimal direct behavioral instruction
RC049,eb9c65b0c5aabcd4c865eca118f8a0bba58b972185bd1e5ded9552a0a3130ce9,classifier_abstention,short_ambiguous,Brief descriptive context without a clear instruction mechanism
RC050,757e4de4225169d27f1078d2d2fd5f5d0388aeb0b6f59b225d0468f4792e313c,classifier_abstention,substantive_repeated_document,Short task instruction with key-file context
RC051,39ef19ad7df622a4ef28987a468dfb70fde7cc1673e82dfeb6ef27ca482c646e,classifier_abstention,short_ambiguous,Brief context statement
